mdRelativePath,articleTitle,articleUrl,relationIndex,relationLabel,relationUrl,decodedUrl,extension,isOcrSupportedExtension,resolveStatus,resolveMethod,resolutionStage,resolutionConfidence,candidateCount,candidatePaths,resolvedRelativePath,sourceBytes,error
招生資訊_content_108學年度碩士在職專班榜單開放查詢及正、備取生報到注意事項_439.md,108學年度碩士在職專班榜單開放查詢及正、備取生報到注意事項,https://www.yzu.edu.tw/admissions/index.php/tw/108-2,4,超連結（檔案）,files/AA/exam/news/108元智大學碩士在職專班備取生報到注意事項.doc,files/AA/exam/news/108元智大學碩士在職專班備取生報到注意事項.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\AA\exam\news\108元智大學碩士在職專班備取生報到注意事項.doc,admissions/files/AA/exam/news/108元智大學碩士在職專班備取生報到注意事項.doc,56320,
招生資訊_content_108學年度碩士班榜單開放查詢、備取生就讀意願登記及正、備取_438.md,108學年度碩士班榜單開放查詢、備取生就讀意願登記及正、備取生報到注意事項,https://www.yzu.edu.tw/admissions/index.php/tw/108-2,4,超連結（檔案）,files/AA/exam/news/108元智大學碩士班正取生報到通知.doc,files/AA/exam/news/108元智大學碩士班正取生報到通知.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\AA\exam\news\108元智大學碩士班正取生報到通知.doc,admissions/files/AA/exam/news/108元智大學碩士班正取生報到通知.doc,59904,
招生資訊_content_108學年度碩士班榜單開放查詢、備取生就讀意願登記及正、備取_438.md,108學年度碩士班榜單開放查詢、備取生就讀意願登記及正、備取生報到注意事項,https://www.yzu.edu.tw/admissions/index.php/tw/108-2,5,超連結（檔案）,files/AA/exam/news/108元智大學碩士班備取生報到注意事項.doc,files/AA/exam/news/108元智大學碩士班備取生報到注意事項.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\AA\exam\news\108元智大學碩士班備取生報到注意事項.doc,admissions/files/AA/exam/news/108元智大學碩士班備取生報到注意事項.doc,57856,
招生資訊_content_108學年度轉學考錄取生報到相關表單下載_471.md,108學年度轉學考錄取生報到相關表單下載,https://www.yzu.edu.tw/admissions/index.php/tw/10808,1,超連結（檔案）,files/TransferExamination/108/元智轉學生入學報到委託書.doc,files/TransferExamination/108/元智轉學生入學報到委託書.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\TransferExamination\108\元智轉學生入學報到委託書.doc,admissions/files/TransferExamination/108/元智轉學生入學報到委託書.doc,28672,
招生資訊_content_108學年度轉學考錄取生報到相關表單下載_471.md,108學年度轉學考錄取生報到相關表單下載,https://www.yzu.edu.tw/admissions/index.php/tw/10808,2,超連結（檔案）,files/TransferExamination/108/元智大學__管理學院學士班__主修領域申請書.doc,files/TransferExamination/108/元智大學__管理學院學士班__主修領域申請書.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\TransferExamination\108\元智大學__管理學院學士班__主修領域申請書.doc,admissions/files/TransferExamination/108/元智大學__管理學院學士班__主修領域申請書.doc,35328,
招生資訊_content_108學年度轉學考錄取生報到相關表單下載_471.md,108學年度轉學考錄取生報到相關表單下載,https://www.yzu.edu.tw/admissions/index.php/tw/10808,3,超連結（檔案）,files/TransferExamination/108/元智大學108學年度轉學考錄取生完成報到後其他重要說明事項.doc,files/TransferExamination/108/元智大學108學年度轉學考錄取生完成報到後其他重要說明事項.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\TransferExamination\108\元智大學108學年度轉學考錄取生完成報到後其他重要說明事項.doc,admissions/files/TransferExamination/108/元智大學108學年度轉學考錄取生完成報到後其他重要說明事項.doc,37376,
招生資訊_content_108學年度轉學考錄取生報到相關表單下載_471.md,108學年度轉學考錄取生報到相關表單下載,https://www.yzu.edu.tw/admissions/index.php/tw/10808,4,超連結（檔案）,files/TransferExamination/108/自動放棄入學資格切結書.doc,files/TransferExamination/108/自動放棄入學資格切結書.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\TransferExamination\108\自動放棄入學資格切結書.doc,admissions/files/TransferExamination/108/自動放棄入學資格切結書.doc,29696,
招生資訊_content_109學年度博士班正取生報到通知_525.md,109學年度博士班正取生報到通知,https://www.yzu.edu.tw/admissions/index.php/tw/109-4,1,超連結（檔案）,files/AA/exam/news/phd/109元智大學博士班正取生報到通知.doc,files/AA/exam/news/phd/109元智大學博士班正取生報到通知.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\AA\exam\news\phd\109元智大學博士班正取生報到通知.doc,admissions/files/AA/exam/news/phd/109元智大學博士班正取生報到通知.doc,62464,
招生資訊_content_109學年度博士班備取生報到注意事項_526.md,109學年度博士班備取生報到注意事項,https://www.yzu.edu.tw/admissions/index.php/tw/109-5,2,超連結（檔案）,files/AA/exam/news/phd/109元智大學博士班備取生報到注意事項.doc,files/AA/exam/news/phd/109元智大學博士班備取生報到注意事項.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\AA\exam\news\phd\109元智大學博士班備取生報到注意事項.doc,admissions/files/AA/exam/news/phd/109元智大學博士班備取生報到注意事項.doc,57856,
招生資訊_content_109學年度境外臺生榜單開放查詢及正、備取生報到注意事項_540.md,109學年度境外臺生榜單開放查詢及正、備取生報到注意事項,https://www.yzu.edu.tw/admissions/index.php/tw/1090819overseas,7,超連結（檔案）,files/AA/aplexam/docs/0019.doc,files/AA/aplexam/docs/0019.doc,.doc,False,resolved,direct_or_article_base,initial_scan,high,1,D:\Programming\web_ocr2md\www\www\admissions\files\AA\aplexam\docs\0019.doc,admissions/files/AA/aplexam/docs/0019.doc,29696,
