assetId,priority,ocrStatus,resolvedRelativePath,resolvedPath,extension,sourceBytes,sourceMtime,sourceSha1,cachedOcrMarkdownPath,ocrMarkdownPath,ocrGeneratedAt,ocrChars,ocrDurationSec,attemptCount,lastError,linkedMdCount,linkedMdPaths,articleUpdatedDates,maxArticleUpdatedDate,articleUrls,needsReocr,mineruTaskId,errorCategory
58e6978b817cec22,10,error,admin/rd/files/202511191352530014632A00_ATTCH2.jpg,/mnt/project/input/www/admin/rd/files/202511191352530014632A00_ATTCH2.jpg,.jpg,364778,2026-05-21T10:23:22,,,,,,0.11,1,Failed to submit parsing task: 400 Unsupported file type: unknown,1,研究發展處_content_南臺學校財團法人南臺科技大學辦理「2026創新數位設計暨中華_8115.md,2025/11/21 上午 05:52:26,2025/11/21 上午 05:52:26,https://www.yzu.edu.tw/admin/rd/index.php/tw/?option=com_content&view=article&id=8115,Y,,unsupported_file_type
6445225702abc34f,10,error,admin/rd/files/20251112091256A09000000E_1140118594_senddoc1_Attach2.jpg,/mnt/project/input/www/admin/rd/files/20251112091256A09000000E_1140118594_senddoc1_Attach2.jpg,.jpg,393657,2026-05-21T10:23:26,,,,,,1.91,1,Failed to submit parsing task: 400 Unsupported file type: unknown,1,研究發展處_content_教育部轉知原住民族委員會辦理「2025年國際原住民族女性意見_8078.md,2025/11/13 上午 07:30:56,2025/11/13 上午 07:30:56,https://www.yzu.edu.tw/admin/rd/index.php/tw/?option=com_content&view=article&id=8078,Y,,unsupported_file_type
b486a2498e8b6f6b,10,error,admin/rd/images/20171101155101活動課程014552.jpg,/mnt/project/input/www/admin/rd/images/20171101155101活動課程014552.jpg,.jpg,1000480,2026-05-21T10:31:12,,,,,,0.77,1,Failed to submit parsing task: 400 Unsupported file type: psd,1,研究發展處_content_義守大學「106年專利申請實務工作坊」_1343.md,2017/11/3 上午 06:53:13,2017/11/3 上午 06:53:13,- **文章簡介**: 主旨：敬邀參加「106年專利申請實務工作坊」培訓課程，請轉知貴屬踴躍報名參加，請查照。,Y,,unsupported_file_type
317425ccd53ede05,10,error,admin/rd/files/20250514162531201000000A_1141200614_doc1_Attach1.jpg,/mnt/project/input/www/admin/rd/files/20250514162531201000000A_1141200614_doc1_Attach1.jpg,.jpg,1034220,2026-05-21T10:24:02,,,,,,0.42,1,Failed to submit parsing task: 400 Unsupported file type: psd,1,研究發展處_content_中央研究院舉辦「中研講堂」新北場科普演講_7596.md,2025/5/15 上午 06:31:50,2025/5/15 上午 06:31:50,https://www.yzu.edu.tw/admin/rd/index.php/tw/?option=com_content&view=article&id=7596,Y,,unsupported_file_type
ccbbfde731ab7703,10,error,admin/is/images/IPR/zhi cai quan yan jiang 11202.png,/mnt/project/input/www/admin/is/images/IPR/zhi cai quan yan jiang 11202.png,.png,282217,2026-05-21T10:15:04,,,,,,1.81,1,Failed to submit parsing task: 400 Unsupported file type: html,2,圖書資訊服務處_content_【教育訓練】智財權宣導講座_智財權與高等教育兩三事 _593.md | 圖書資訊服務處_content_【教育訓練】智財權宣導講座_智財權與高等教育兩三事_589.md,2024/5/15 上午 07:15:47 | 2025/3/27 上午 01:52:16,2025/3/27 上午 01:52:16,https://www.yzu.edu.tw/admin/is/index.php/tw/ipr1130514 | https://www.yzu.edu.tw/admin/is/index.php/tw/ipr113053101,Y,,unsupported_file_type
385950d22b5295c6,10,error,admin/is/images/zhi cai quan yan jiang 11202.png,/mnt/project/input/www/admin/is/images/zhi cai quan yan jiang 11202.png,.png,282217,2026-05-21T10:14:50,,,,,,0.84,1,Failed to submit parsing task: 400 Unsupported file type: html,1,圖書資訊服務處_content_【智財權宣導講座】智財權與高等教育兩三事_592.md,2024/5/14 上午 07:33:16,2024/5/14 上午 07:33:16,https://www.yzu.edu.tw/admin/is/index.php/tw/113051401,Y,,unsupported_file_type
67d0123d10b466b4,10,error,admin/is/images/Informationsecurity/11309.png,/mnt/project/input/www/admin/is/images/Informationsecurity/11309.png,.png,448369,2026-05-21T10:15:06,,,,,,2.20,1,Failed to submit parsing task: 400 Unsupported file type: txt,1,圖書資訊服務處_content_【教育訓練】生活資安講座系列課程(9月) The serie_624.md,2025/3/27 上午 05:32:39,2025/3/27 上午 05:32:39,https://www.yzu.edu.tw/admin/is/index.php/tw/113082601,Y,,unsupported_file_type
6a72077ec1404d12,10,error,admin/is/images/Informationsecurity/11308.png,/mnt/project/input/www/admin/is/images/Informationsecurity/11308.png,.png,529001,2026-05-21T10:15:06,,,,,,1.90,1,Failed to submit parsing task: 400 Unsupported file type: unknown,1,圖書資訊服務處_content_【教育訓練】生活資安講座系列課程(8月) The serie_623.md,2025/3/27 上午 05:36:40,2025/3/27 上午 05:36:40,https://www.yzu.edu.tw/admin/is/index.php/tw/113080501,Y,,unsupported_file_type
cb2360e441a45327,10,error,admin/aa/images/0417教師增能工作坊海報_Revised.png,/mnt/project/input/www/admin/aa/images/0417教師增能工作坊海報_Revised.png,.png,854173,2026-05-21T09:43:18,,,,,,2.10,1,Failed to submit parsing task: 400 Unsupported file type: unknown,1,教務處_content_【轉知-管理學院活動公告】EMI相關工作坊_1630.md,2024/4/10 上午 03:54:05,2024/4/10 上午 03:54:05,https://www.yzu.edu.tw/admin/aa/index.php/tw/2024-04-10-1,Y,,unsupported_file_type
c833155a5e393b34,20,error,admin/rd/files/2022智慧生活創新創業競賽簡章.pdf,/mnt/project/input/www/admin/rd/files/2022智慧生活創新創業競賽簡章.pdf,.pdf,0,2026-05-21T10:26:52,,,,,,,1,Preflight unsupported file: empty,1,研究發展處_content_崑山科技大學 「2022智慧生活創新創業競賽」_4881.md,2022/9/19 上午 01:54:47,2022/9/19 上午 01:54:47,https://www.yzu.edu.tw/admin/rd/index.php/tw/?option=com_content&view=article&id=4881,Y,,empty_file
9f982660cb89e0a2,20,error,admin/st/files/Sanitary_HealthCare/102學年度健康促進計畫_放棄參加元智大學健康促進計畫權利聲明書.pdf,/mnt/project/input/www/admin/st/files/Sanitary_HealthCare/102學年度健康促進計畫_放棄參加元智大學健康促進計畫權利聲明書.pdf,.pdf,98304,2026-05-21T10:48:04,,,,,,,1,Preflight unsupported file: pdfium could not open PDF: Failed to load document (PDFium: Data format error).,2,學務處_content_103年健康促進計畫_861.md | 學務處_content_104年健康促進計畫_828.md,2016/11/3 上午 06:02:10 | 2017/6/16 上午 03:15:13,2017/6/16 上午 03:15:13,- **文章簡介**: 103年度上半年健康促進計畫 | - **文章簡介**: 104年度上半年健康促進計畫,Y,,corrupt_or_invalid_pdf
90b6cbe677652156,20,error,admin/so/files/meeting/108-1/114-8_性平紀錄_all_-_複製.pdf,/mnt/project/input/www/admin/so/files/meeting/108-1/114-8_性平紀錄_all_-_複製.pdf,.pdf,158162,2026-05-21T10:36:50,,,,,,,1,Preflight unsupported file: pdfium could not open PDF: Failed to load document (PDFium: Incorrect password error).,1,秘書室_content_108-1行政會議_442.md,2026/5/19 上午 11:15:05,2026/5/19 上午 11:15:05,https://www.yzu.edu.tw/admin/so/index.php/tw/?option=com_content&view=article&id=442,Y,,password_or_encrypted_pdf
