assetId,ocrStatus,actualOcrChars,statusOcrChars,sourceBytes,extension,resolvedRelativePath,ocrMarkdownPath,linkedMdCount_status,linkedMdCount_manifest,linkedMdPaths,relationSamples
9570b1a2d224519b,completed_cached,742201,0,210510,.xlsx,admin/rd/files/研發年報/108/108學年度-全校論文清冊.xlsx,/mnt/project/cache/ocr_completed_cache/ocr_md_assets/9570b1a2d224519b_108學年度-全校論文清冊.md,1,1,研究發展處_content_論文發表_616.md,研究發展處_content_論文發表_616.md#OCR54 files/研發年報/108/108學年度-全校論文清冊.xlsx
db1e6ea6642775a4,completed_cached,684498,0,833911,.pdf,admissions/files/PersonalApplication/106/106postlist.pdf,/mnt/project/cache/ocr_completed_cache/ocr_md_assets/db1e6ea6642775a4_106postlist.md,1,1,招生資訊_content_106學年度元智大學個人申請入學符合本校最低錄取標準通知與個_316.md,招生資訊_content_106學年度元智大學個人申請入學符合本校最低錄取標準通知與個_316.md#OCR1 files/PersonalApplication/106/106postlist.pdf
d95398fc93d9f567,completed_cached,648048,0,304879,.pdf,admissions/files/PersonalApplication/112/公告_112apply清冊.pdf,/mnt/project/cache/ocr_completed_cache/ocr_md_assets/d95398fc93d9f567_公告_112apply清冊.md,1,1,招生資訊_content_元智大學112學年度大學申請入學第二階段指定項目甄試錄取名單_757.md,招生資訊_content_元智大學112學年度大學申請入學第二階段指定項目甄試錄取名單_757.md#OCR2 files/PersonalApplication/112/公告_112apply清冊.pdf
87b7dc4f1ef30e7a,completed_cached,598270,0,169296,.xlsx,admin/rd/files/研發年報/103計劃清單公告初稿1040916.xlsx,/mnt/project/cache/ocr_completed_cache/ocr_md_assets/87b7dc4f1ef30e7a_103計劃清單公告初稿1040916.md,1,1,研究發展處_content_研究計畫_615.md,研究發展處_content_研究計畫_615.md#OCR13 http://www.yzu.edu.tw/admin/rd/files/%E7%A0%94%E7%99%BC%E5%B9%B4%E5%A0%B1/103%E8%A8%88%E5%8A%83%E6%B8%85%E5%96%AE%E5%85%AC%E5%91%8A%E5%88%9D%E7%A8%BF1040916.xlsx
78b94123d69ecdfe,completed_cached,564588,0,390203,.pdf,admin/aa/files/aatsc/106/1062priority.pdf,/mnt/project/cache/ocr_completed_cache/ocr_md_assets/78b94123d69ecdfe_1062priority.md,1,1,教務處_content_【1062優選名單】填完所有每次課程之課程問卷（舊生需填10_612.md,教務處_content_【1062優選名單】填完所有每次課程之課程問卷（舊生需填10_612.md#OCR1 http://www.yzu.edu.tw/admin/aa/files/aatsc/106/1062priority.pdf
9fa8d525e50d8421,completed_cached,530456,0,370613,.pdf,admin/aa/files/aatsc/107/1072priority.pdf,/mnt/project/cache/ocr_completed_cache/ocr_md_assets/9fa8d525e50d8421_1072priority.md,2,2,教務處_content_【1072優選名單】填完所有每次課程之課程問卷（舊生需填10_712.md | 教務處_content_【Priority Course Selection Sho_713.md,教務處_content_【1072優選名單】填完所有每次課程之課程問卷（舊生需填10_712.md#OCR1 http://www.yzu.edu.tw/admin/aa/files/aatsc/107/1072priority.pdf | 教務處_content_【Priority Course Selection Sho_713.md#OCR1 http://www.yzu.edu.tw/admin/aa/files/aatsc/107/1072priority.pdf
4b9cdeab024908a3,completed_cached,515895,0,388327,.pdf,admin/aa/files/aatsc/110/1102priority.pdf,/mnt/project/cache/ocr_completed_cache/ocr_md_assets/4b9cdeab024908a3_1102priority.md,1,1,教務處_content_【1102優選名單】填完所有每次課程之課程問卷（舊生需填10_1112.md,教務處_content_【1102優選名單】填完所有每次課程之課程問卷（舊生需填10_1112.md#OCR1 http://www.yzu.edu.tw/admin/aa/files/aatsc/110/1102priority.pdf
013ba2ed2a48ea9b,completed_cached,512092,0,386851,.pdf,admin/aa/files/aatsc/108/1082priority.pdf,/mnt/project/cache/ocr_completed_cache/ocr_md_assets/013ba2ed2a48ea9b_1082priority.md,2,2,教務處_content_【1082優選名單】填完所有每次課程之課程問卷（舊生需填10_839.md | 教務處_content_【Priority Course Selection Sho_841.md,教務處_content_【1082優選名單】填完所有每次課程之課程問卷（舊生需填10_839.md#OCR1 http://www.yzu.edu.tw/admin/aa/files/aatsc/108/1082priority.pdf | 教務處_content_【Priority Course Selection Sho_841.md#OCR1 http://www.yzu.edu.tw/admin/aa/files/aatsc/108/1082priority.pdf
5fe7cbb41043792e,completed_cached,507324,0,392376,.pdf,admin/aa/files/aatsc/106/1071priority.pdf,/mnt/project/cache/ocr_completed_cache/ocr_md_assets/5fe7cbb41043792e_1071priority.md,1,1,教務處_content_【1071優選名單】填完所有每次課程之課程問卷（舊生需填10_650.md,教務處_content_【1071優選名單】填完所有每次課程之課程問卷（舊生需填10_650.md#OCR1 http://www.yzu.edu.tw/admin/aa/files/aatsc/106/1071priority.pdf
bffb79b6d1da79e1,completed_cached,500707,0,382014,.pdf,admin/aa/files/aatsc/109/1092priority.pdf,/mnt/project/cache/ocr_completed_cache/ocr_md_assets/bffb79b6d1da79e1_1092priority.md,1,1,教務處_content_【1092優選名單】填完所有每次課程之課程問卷（舊生需填10_973.md,教務處_content_【1092優選名單】填完所有每次課程之課程問卷（舊生需填10_973.md#OCR1 http://www.yzu.edu.tw/admin/aa/files/aatsc/109/1092priority.pdf
