mdRelativePath,articleTitle,articleUrl,relationIndex,relationLabel,relationUrl,decodedUrl,extension,isOcrSupportedExtension,resolveStatus,resolveMethod,resolutionStage,resolutionConfidence,candidateCount,candidatePaths,resolvedRelativePath,sourceBytes,error
學務處_content_【住宿訊息】公告108學年度學生宿舍電腦抽籤中籤名單及後續作_1610.md,【住宿訊息】公告108學年度學生宿舍電腦抽籤中籤名單及後續作業事項,https://www.yzu.edu.tw/admin/st/index.php/tw/?option=com_content&view=article&id=1610,1,超連結（檔案）,files/元智大學學生宿舍管理規則1071219通過.pdf,files/元智大學學生宿舍管理規則1071219通過.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
學務處_content_【住宿訊息】公告108學年度學生宿舍電腦抽籤中籤名單及後續作_1610.md,【住宿訊息】公告108學年度學生宿舍電腦抽籤中籤名單及後續作業事項,https://www.yzu.edu.tw/admin/st/index.php/tw/?option=com_content&view=article&id=1610,2,超連結（檔案）,files/生活須知中文版_1080318.pdf,files/生活須知中文版_1080318.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
學務處_content_【住宿訊息】公告108學年度學生宿舍電腦抽籤中籤名單及後續作_1610.md,【住宿訊息】公告108學年度學生宿舍電腦抽籤中籤名單及後續作業事項,https://www.yzu.edu.tw/admin/st/index.php/tw/?option=com_content&view=article&id=1610,3,超連結（檔案）,files/108一抽中籤_男生.pdf,files/108一抽中籤_男生.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
學務處_content_【住宿訊息】公告108學年度學生宿舍電腦抽籤中籤名單及後續作_1610.md,【住宿訊息】公告108學年度學生宿舍電腦抽籤中籤名單及後續作業事項,https://www.yzu.edu.tw/admin/st/index.php/tw/?option=com_content&view=article&id=1610,4,超連結（檔案）,files/108一抽中籤_女生.pdf,files/108一抽中籤_女生.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
學務處_content_【住宿訊息】公告108學年度學生宿舍優先住宿申請...核准名_1601.md,【住宿訊息】公告108學年度學生宿舍優先住宿申請...核准名單及後續作業事項,https://www.yzu.edu.tw/admin/st/index.php/tw/?option=com_content&view=article&id=1601,1,超連結（檔案）,files/108學年度核定優先住宿名單.pdf,files/108學年度核定優先住宿名單.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
學務處_content_【住宿訊息】公告108學年度學生宿舍優先住宿申請...核准名_1601.md,【住宿訊息】公告108學年度學生宿舍優先住宿申請...核准名單及後續作業事項,https://www.yzu.edu.tw/admin/st/index.php/tw/?option=com_content&view=article&id=1601,2,超連結（檔案）,files/108學年度核定優先住宿名單_校隊.pdf,files/108學年度核定優先住宿名單_校隊.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
學務處_content_【住宿訊息】公告108學年度學生宿舍優先住宿申請...核准名_1601.md,【住宿訊息】公告108學年度學生宿舍優先住宿申請...核准名單及後續作業事項,https://www.yzu.edu.tw/admin/st/index.php/tw/?option=com_content&view=article&id=1601,3,超連結（檔案）,files/元智大學學生宿舍管理規則1071219通過.pdf,files/元智大學學生宿舍管理規則1071219通過.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
學務處_content_【住宿訊息】公告108學年度學生宿舍優先住宿申請...核准名_1601.md,【住宿訊息】公告108學年度學生宿舍優先住宿申請...核准名單及後續作業事項,https://www.yzu.edu.tw/admin/st/index.php/tw/?option=com_content&view=article&id=1601,4,超連結（檔案）,files/生活須知中文版_1080318.pdf,files/生活須知中文版_1080318.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
學務處_content_【住宿訊息】公告109-2學期學生宿舍人工登記候補...核定_1992.md,【住宿訊息】公告109-2學期學生宿舍人工登記候補...核定遞補名單及後續配合事項,https://www.yzu.edu.tw/admin/st/index.php/tw/?option=com_content&view=article&id=1992,1,超連結（檔案）,files/元智大學學生宿舍管理規則1081225通過.pdf,files/元智大學學生宿舍管理規則1081225通過.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
學務處_content_【住宿訊息】公告109-2學期學生宿舍人工登記候補...核定_1992.md,【住宿訊息】公告109-2學期學生宿舍人工登記候補...核定遞補名單及後續配合事項,https://www.yzu.edu.tw/admin/st/index.php/tw/?option=com_content&view=article&id=1992,2,超連結（檔案）,files/生活須知中文橫式.pdf,files/生活須知中文橫式.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
學務處_content_【住宿訊息】公告109-2學期學生宿舍人工登記候補...核定_1992.md,【住宿訊息】公告109-2學期學生宿舍人工登記候補...核定遞補名單及後續配合事項,https://www.yzu.edu.tw/admin/st/index.php/tw/?option=com_content&view=article&id=1992,3,超連結（檔案）,files/元智大學住宿同意書_中1092.pdf,files/元智大學住宿同意書_中1092.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
學務處_content_【住宿訊息】公告109學年度大一新生床位分配及進住相關說明。_1927.md,【住宿訊息】公告109學年度大一新生床位分配及進住相關說明。（內含候補登記資訊）,https://www.yzu.edu.tw/admin/st/index.php/tw/?option=com_content&view=article&id=1927,1,超連結（檔案）,files/元智大學學生宿舍管理規則1081225通過.pdf,files/元智大學學生宿舍管理規則1081225通過.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
學務處_content_【住宿訊息】公告109學年度大一新生床位分配及進住相關說明。_1927.md,【住宿訊息】公告109學年度大一新生床位分配及進住相關說明。（內含候補登記資訊）,https://www.yzu.edu.tw/admin/st/index.php/tw/?option=com_content&view=article&id=1927,2,超連結（檔案）,files/生活須知中文橫式.pdf,files/生活須知中文橫式.pdf,.pdf,True,confirmed_missing,missing_recheck:no_exact_or_unique_scoped_match,missing_recheck,high_for_missing,0,,,0,
